epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1569.7,0.44996,0.29178,0.97465,0.99695,0.99442,0.99499,0.96684,0.31072,0.17925,0.94593,0.00104537,0.00104537,0.00104537
82,1588.82,0.44275,0.2889,0.97128,0.99745,0.99468,0.995,0.96002,0.32873,0.18474,0.9632,0.000955951,0.000955951,0.000955951
83,1607.92,0.45025,0.29179,0.97151,0.99772,0.99495,0.995,0.9651,0.31039,0.18282,0.94675,0.000870577,0.000870577,0.000870577
84,1627.01,0.44188,0.28773,0.97063,0.99733,0.99442,0.995,0.95952,0.33486,0.18556,0.97242,0.000789327,0.000789327,0.000789327
85,1646.13,0.43583,0.2821,0.96425,0.99657,0.99488,0.99499,0.96206,0.32269,0.18371,0.96056,0.000712282,0.000712282,0.000712282
86,1665.24,0.43334,0.28726,0.96494,0.99704,0.99493,0.995,0.96254,0.31395,0.18006,0.95507,0.000639518,0.000639518,0.000639518
87,1684.34,0.42606,0.28045,0.9602,0.99652,0.99497,0.99498,0.96715,0.30377,0.18299,0.94932,0.000571106,0.000571106,0.000571106
88,1703.47,0.42952,0.27863,0.96319,0.99694,0.99497,0.995,0.96073,0.3192,0.18246,0.96419,0.000507115,0.000507115,0.000507115
89,1722.57,0.42857,0.27922,0.96278,0.99727,0.9947,0.995,0.96318,0.31129,0.17891,0.95372,0.000447606,0.000447606,0.000447606
90,1741.68,0.42785,0.27831,0.96216,0.99746,0.9946,0.995,0.96588,0.30448,0.17894,0.94635,0.00039264,0.00039264,0.00039264
91,1761.41,0.44522,0.27721,1.03262,0.99819,0.99419,0.995,0.96726,0.30481,0.18979,0.9446,0.00034227,0.00034227,0.00034227
92,1780.3,0.41432,0.2261,1.00909,0.99828,0.99424,0.995,0.9659,0.3088,0.1809,0.95325,0.000296546,0.000296546,0.000296546
93,1799.19,0.39759,0.21723,0.99575,0.99821,0.99481,0.995,0.95974,0.33145,0.17903,0.97445,0.000255513,0.000255513,0.000255513
94,1818.09,0.41092,0.21801,1.0066,0.99875,0.99497,0.995,0.96601,0.30941,0.17681,0.95355,0.000219212,0.000219212,0.000219212
95,1836.98,0.39496,0.21313,0.99064,0.99887,0.99497,0.995,0.963,0.31924,0.17413,0.95899,0.000187678,0.000187678,0.000187678
96,1855.87,0.38755,0.20775,0.98519,0.99872,0.99497,0.995,0.96647,0.30115,0.17248,0.94589,0.000160943,0.000160943,0.000160943
97,1874.75,0.38663,0.20751,0.98876,0.99891,0.99497,0.995,0.96637,0.30596,0.17026,0.9537,0.000139032,0.000139032,0.000139032
98,1893.66,0.38988,0.20939,0.99128,0.99888,0.99497,0.995,0.96704,0.30055,0.16912,0.94789,0.000121968,0.000121968,0.000121968
99,1912.54,0.38286,0.20547,0.98413,0.99883,0.99497,0.995,0.96954,0.29111,0.16653,0.94283,0.000109768,0.000109768,0.000109768
100,1931.46,0.38043,0.20275,0.98081,0.99889,0.99497,0.995,0.96753,0.29842,0.16715,0.94685,0.000102443,0.000102443,0.000102443
